auskunft,Art,stunde,monat,gespraeche,summe_dauer,avg_dauer,0,bis_10,bis_20,bis_30,bis_40,bis_50,bis_60,bis_70,bis_80,bis_90,bis_100,bis_110,bis_120,bis_130,bis_140,bis_150,bis_160,bis_170,bis_180,bis_190,bis_200,bis_210,bis_220,bis_230,bis_240,bis_250,bis_260,bis_270,bis_280,bis_290,bis_300,bis_360,bis_420,bis_480,bis_540,bis_600,bis_1200,bis_1800,bis_2400,bis_3000,ab_3001,Max,Anzahl,Kategorie(1.te),Max_Wert_Kategorie
11811,Alle,0,03_2019,14,1033,73.8,2,2,3,1,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,bis_20,
11811,Alle,1,03_2019,15,727,48.5,2,3,1,3,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,bis_10,Max_Wert_ist_mehrfach_vorhanden!
11811,Alle,2,03_2019,18,1133,62.9,1,2,1,4,3,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,bis_30,
11811,Alle,3,03_2019,16,1015,63.4,1,3,2,1,2,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,bis_10,
11811,Alle,4,03_2019,13,885,68.1,1,1,1,0,0,1,1,5,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,bis_70,
11811,Alle,5,03_2019,12,808,67.3,3,2,0,0,2,1,0,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,bis_10,Max_Wert_ist_mehrfach_vorhanden!
11811,Alle,6,03_2019,37,2453,66.3,2,3,2,4,2,3,4,2,4,3,1,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,bis_30,Max_Wert_ist_mehrfach_vorhanden!
11811,Alle,7,03_2019,205,14226,69.4,10,9,7,9,14,28,25,30,18,24,12,6,6,3,5,2,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,1,bis_70,
11811,Alle,8,03_2019,731,53557,73.3,77,15,18,12,61,102,111,99,67,60,49,34,25,21,14,9,7,7,4,4,3,3,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111,1,bis_60,
11811,Alle,9,03_2019,1269,97153,76.6,108,25,20,34,97,158,185,159,142,98,84,72,49,36,25,14,14,11,9,7,3,6,6,2,1,1,2,2,0,1,0,5,1,0,0,0,0,0,0,0,0,185,1,bis_60,
11811,Alle,10,03_2019,1449,112805,77.9,160,22,14,38,91,182,231,184,156,139,92,79,58,31,24,25,16,10,13,10,6,6,3,2,2,0,4,0,2,4,2,2,0,0,0,0,1,0,0,0,0,231,1,bis_60,
11811,Alle,11,03_2019,1202,94857,78.9,98,30,17,27,66,143,192,134,113,119,97,73,52,29,24,14,9,19,5,5,5,6,5,2,2,3,1,2,1,1,1,3,0,0,0,2,0,0,0,0,0,192,1,bis_60,
